icpsr,candidate,chamber,state_dist,cand_party,party_code,candidate_is_incumbent,location,partisanship,incumbent_rep,incumbent_party,incumbent_elected,incumbent_status,congress,bioname,bioguide_id,born,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,nokken_poole_dim1,nokken_poole_dim2,senate_class,new_class_code_senate,text_stem,screen_name,official_screen_name,alternate_names,first_name,special_name,candidate_encoding_issues,GeneralElec
492220004,Aaron Hermes,House,TX-22,R,200,0,Texas 22,R+10,Pete Olson,Republican,2008,Incumbent retiring.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-22-hermes_aaron-,@realAaronHermes,NA,Aaron Hermes,Aaron,first_last,NA,0
241610001,Aaron Paul Godfrey,House,OH-16,D,100,0,Ohio 16,R+8,Anthony Gonzalez,Republican,2018,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,OH-16-godfrey_aaronpaul-,@GodfreyForOH16,NA,Aaron Godfrey,Aaron,mid_name,NA,
432120010,Aaron Scanlan,House,FL-21,R,200,0,Florida 21,D+9,Lois Frankel,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-21-scanlan_aaron-,@ScanlanCongress,NA,Aaron Scanlan,Aaron,first_last,NA,
21918,Abby Finkenauer,House,IA-01,D,100,1,Iowa 1,D+1,Abby Finkenauer,Democratic,2018,Incumbent running.,NA,"FINKENAUER, Abby",F000467,1988,-0.25,0.504,-55.43421,0.92204,683,29,-0.25,0.504,NA,NA,IA-01-finkenauer_abby-,@Abby4Iowa,@RepFinkenauer,Abby Finkenauer,Abby,first_last,NA,
130810001,Abe Jamie Garcia,House,NY-08,D,100,0,New York 8,D+36,Hakeem Jeffries,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NY-08-garcia_abejamie-,@FriendsAbe,NA,Abe Garcia,Abe,mid_name,NA,
493120002,Abhiram Garapati,House,TX-31,R,200,0,Texas 31,R+10,John Carter,Republican,2002,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TX-31-garapati_abhiram-,@ABHIRAMGARAPATI,NA,Abhiram Garapati,Abhiram,first_last,NA,
21966,Abigail Spanberger,House,VA-07,D,100,1,Virginia 7,R+6,Abigail Spanberger,Democratic,2018,Incumbent running.,NA,"SPANBERGER, Abigail",S001209,1979,-0.173,0.453,-88.79221,0.87793,682,35,-0.173,0.453,NA,NA,VA-07-spanberger_abigail-,@SpanbergerVA07,@RepSpanberger,Abigail Spanberger,Abigail,first_last,NA,
480210001,Adair Boroughs,House,SC-02,D,100,0,South Carolina 2,R+12,Joe Wilson,Republican,2001,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC-02-boroughs_adair-,@Adair4Congress,NA,Adair Boroughs,Adair,first_last,NA,
432110001,Adam Aarons,House,FL-21,D,100,0,Florida 21,D+9,Lois Frankel,Democratic,2012,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FL-21-aarons_adam-,NA,NA,Adam Aarons,Adam,first_last,NA,
712810008,Adam B. Schiff,House,CA-28,D,100,0,California 28,D+23,Adam Schiff,Democratic,2000,Incumbent running.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CA-28-schiff_adam-,@AdamSchiff,@RepCardenas,Adam Schiff,Adam,mid_init,NA,
